ÎïÆ·×¢²áÃû,ÎïÆ·Ãû,ÀàĞÍ,±¥Ê³¶È(¼¦ÍÈ),±¥ºÍ¶È(½ğ¼¦ÍÈ),¶îÍâĞ§¹û,±¸×¢
candycraftce:pez_sword,Æ¤ÀñÊ¿ÌÇ½£, - 
candycraftce:record_1,¹û¶³»ÊºóµÄË½²Ø³ªÆ¬, - 
candycraftce:record_2,½ª±ıÈËÊØÎÀµÄË½²Ø³ªÆ¬, - 
candycraftce:record_3,²Êºç³ªÆ¬, - 
candycraftce:record_4,ÑÎ¸Ê²İÌÇ¼×³æµÄË½²Ø³ªÆ¬, - 
candycraftce:record_o,item.candycraftce.record_o, - 
candycraftce:sky_emblem,Ìì¿Õ»ÕÕÂ, - 
candycraftce:sugar_crystal,±ùÌÇ, - 
candycraftce:suguard_emblem,½ª±ıÈËÊØÎÀ»ÕÕÂ, - 
candycraftce:trampojelly_boots,¹û¶³Ñ¥×Ó, - 
candycraftce:waffle,»ª·ò±ı, - 
candycraftce:waffle_nugget,»ª·ò±ıËéĞ¼, - 
candycraftce:water_mask,Ë®ÏÂÃæÕÖ, - 
candycraftce:white_chocolate_brick,°×ÇÉ¿ËÁ¦×©, - 
candycraftce:white_chocolate_leaf,°×ÇÉ¿ËÁ¦Ê÷Ò¶, - 
candycraftce:acid_mint_flower,Ëá±¡ºÉ»¨, - 
candycraftce:advanced_sugar_factory,¸ß¼¶ÖÆÌÇ»ú, - 
candycraftce:alchemy_mixer,Á¶½ğ½Á°èÆ÷, - 
candycraftce:banana_seaweed,Ïã½¶º£²İ, - 
candycraftce:banana_seaweeds_block,Ïã½¶º£²İ¿é, - 
candycraftce:banana_seaweeds_slab,Ïã½¶º£²İÌ¨½×, - 
candycraftce:banana_seaweeds_stairs,Ïã½¶º£²İÂ¥Ìİ, - 
candycraftce:blueberry_ice_cream,À¶İ®±ùä¿ÁÜ, - 
candycraftce:blueberry_ice_cream_slab,À¶İ®±ùä¿ÁÜÌ¨½×, - 
candycraftce:blueberry_ice_cream_stairs,À¶İ®±ùä¿ÁÜÂ¥Ìİ, - 
candycraftce:candied_cherry_leaves,ÃÛ½¤Ó£ÌÒÊ÷Ò¶, - 
candycraftce:candied_cherry_sack,ÃÛ½¤Ó£ÌÒ¿é, - 
candycraftce:candied_cherry_sapling,ÃÛ½¤Ó£ÌÒÊ÷Ãç, - 
candycraftce:candied_cherry_slab,ÃÛ½¤Ó£ÌÒÌ¨½×, - 
candycraftce:candied_cherry_stairs,ÃÛ½¤Ó£ÌÒÂ¥Ìİ, - 
candycraftce:candy_cane_block,¹ÕÕÈÌÇ¿é, - 
candycraftce:candy_cane_fence,¹ÕÕÈÌÇÕ¤À¸, - 
candycraftce:candy_cane_slab,¹ÕÕÈÌÇÌ¨½×, - 
candycraftce:candy_cane_stairs,¹ÕÕÈÌÇÂ¥Ìİ, - 
candycraftce:candy_cane_wall,¹ÕÕÈÌÇÇ½, - 
candycraftce:caramel_block,½¹ÌÇ¿é, - 
candycraftce:caramel_bricks,½¹ÌÇ×©, - 
candycraftce:caramel_glass,½¹ÌÇ²£Á§, - 
candycraftce:caramel_glass_pane,½¹ÌÇ²£Á§°å, - 
candycraftce:caramel_leaves,½¹ÌÇÊ÷Ò¶, - 
candycraftce:caramel_portal,½¹ÌÇ´«ËÍÃÅ, - 
candycraftce:caramel_sapling,½¹ÌÇÊ÷Ãç, - 
candycraftce:chewing_gum_block,¿ÚÏãÌÇ¿é, - 
candycraftce:chewing_gum_puddle,¿ÚÏãÌÇÆ¬, - 
candycraftce:chewing_gum_slab,¿ÚÏãÌÇÌ¨½×, - 
candycraftce:chewing_gum_stairs,¿ÚÏãÌÇÂ¥Ìİ, - 
candycraftce:chocolate_bricks,ÇÉ¿ËÁ¦×©, - 
candycraftce:chocolate_caramel_bricks,ÇÉ¿ËÁ¦½¹ÌÇ×©, - 
candycraftce:chocolate_cobblestone,ÇÉ¿ËÁ¦Ô²Ê¯, - 
candycraftce:chocolate_furnace,ÇÉ¿ËÁ¦ÈÛÂ¯, - 
candycraftce:chocolate_leaves,ÇÉ¿ËÁ¦Ê÷Ò¶, - 
candycraftce:chocolate_sapling,ÇÉ¿ËÁ¦Ê÷Ãç, - 
candycraftce:chocolate_stone,ÇÉ¿ËÁ¦Ê¯Í·, - 
candycraftce:chocolate_stone_tile,ÇÉ¿ËÁ¦Íß, - 
candycraftce:cotton_candy_block,ÃŞ»¨ÌÇ¿é, - 
candycraftce:cotton_candy_slab,ÃŞ»¨ÌÇÌ¨½×, - 
candycraftce:cotton_candy_stairs,ÃŞ»¨ÌÇÂ¥Ìİ, - 
candycraftce:cotton_candy_web,ÃŞ»¨ÌÇÍø, - 
candycraftce:cranberry_spikes,ÂûÔ½İ®´Ì, - 
candycraftce:custard_pudding,ÄÌÆ¤²¼¶¡, - 
candycraftce:dark_marshmallow_door,ÉîÉ«ÃŞ»¨ÈíÌÇÃÅ, - 
candycraftce:dark_marshmallow_fence,ÉîÉ«ÃŞ»¨ÈíÌÇÕ¤À¸, - 
candycraftce:dark_marshmallow_fence_gate,ÉîÉ«ÃŞ»¨ÈíÌÇÕ¤À¸ÃÅ, - 
candycraftce:dark_marshmallow_log,ÉîÉ«ÃŞ»¨ÈíÌÇÔ­Ä¾, - 
candycraftce:dark_marshmallow_planks,ÉîÉ«ÃŞ»¨ÈíÌÇÄ¾°å, - 
candycraftce:dark_marshmallow_slab,ÉîÉ«ÃŞ»¨ÈíÌÇÌ¨½×, - 
candycraftce:dark_marshmallow_stairs,ÉîÉ«ÃŞ»¨ÈíÌÇÂ¥Ìİ, - 
candycraftce:dark_marshmallow_trapdoor,ÉîÉ«ÃŞ»¨ÈíÌÇ»î°æÃÅ, - 
candycraftce:diamond_caramel_glass,×êÊ¯ĞÎ½¹ÌÇ²£Á§, - 
candycraftce:diamond_caramel_glass_pane,×êÊ¯ĞÎ½¹ÌÇ²£Á§°å, - 
candycraftce:dragibus_crops,²ÊºçÌÇ×÷Îï, - 
candycraftce:fraise_tagada_flower,¹ûÃÛ»¨, - 
candycraftce:golden_sugar_flower,½ğÌÇ¹û»¨, - 
candycraftce:grenadine_block,ºìÊ¯ÁñÌÇ½¬±ù, - 
candycraftce:honeycomb_block,ÃÛÀ¯¿é, - 
candycraftce:honeycomb_lamp,ÃÛÀ¯µÆ, - 
candycraftce:honeycomb_ore,ÃÛÀ¯¿óÊ¯, - 
candycraftce:honeycomb_torch,ÃÛÀ¯»ğ°Ñ, - 
candycraftce:ice_cream,±ùä¿ÁÜ, - 
candycraftce:ice_cream_slab,±ùä¿ÁÜÌ¨½×, - 
candycraftce:ice_cream_stairs,±ùä¿ÁÜÂ¥Ìİ, - 
candycraftce:jawbreaker_bricks,»ùÑÒÓ²ÌÇ×©, - 
candycraftce:jawbreaker_light,»ùÑÒÓ²ÌÇµÆ, - 
candycraftce:jelly_ore,¹û¶³¿óÊ¯, - 
candycraftce:jelly_shock_absorber,¼õÕğ¹û¶³, - 
candycraftce:licorice_block,ÑÎ¸Ê²İÌÇ¿é, - 
candycraftce:licorice_brick_slab,ÑÎ¸Ê²İÌÇ×©Ì¨½×, - 
candycraftce:licorice_brick_stairs,ÑÎ¸Ê²İÌÇ×©Â¥Ìİ, - 
candycraftce:licorice_brick_wall,ÑÎ¸Ê²İÌÇ×©Ç½, - 
candycraftce:licorice_bricks,ÑÎ¸Ê²İÌÇ×©, - 
candycraftce:licorice_furnace,ÑÎ¸Ê²İÌÇÈÛÂ¯, - 
candycraftce:licorice_ore,ÑÎ¸Ê²İÌÇ¿óÊ¯, - 
candycraftce:licorice_slab,ÑÎ¸Ê²İÌÇÌ¨½×, - 
candycraftce:licorice_stairs,ÑÎ¸Ê²İÌÇÂ¥Ìİ, - 
candycraftce:licorice_wall,ÑÎ¸Ê²İÌÇÇ½, - 
candycraftce:light_marshmallow_door,Ç³É«ÃŞ»¨ÈíÌÇÃÅ, - 
candycraftce:light_marshmallow_fence,Ç³É«ÃŞ»¨ÈíÌÇÕ¤À¸, - 
candycraftce:light_marshmallow_fence_gate,Ç³É«ÃŞ»¨ÈíÌÇÕ¤À¸ÃÅ, - 
candycraftce:light_marshmallow_log,Ç³É«ÃŞ»¨ÈíÌÇÔ­Ä¾, - 
candycraftce:light_marshmallow_planks,Ç³É«ÃŞ»¨ÈíÌÇÄ¾°å, - 
candycraftce:light_marshmallow_slab,Ç³É«ÃŞ»¨ÈíÌÇÌ¨½×, - 
candycraftce:light_marshmallow_stairs,Ç³É«ÃŞ»¨ÈíÌÇÂ¥Ìİ, - 
candycraftce:light_marshmallow_trapdoor,Ç³É«ÃŞ»¨ÈíÌÇ»î°æÃÅ, - 
candycraftce:lollipop_fruit,°ô°ôÌÇ¹ûÊµ, - 
candycraftce:lollipop_stem,°ô°ôÌÇ¾¥, - 
candycraftce:magical_leaves,Ä§·¨Ê÷Ò¶, - 
candycraftce:marshmallow_crafting_table,ÃŞ»¨ÈíÌÇ¹¤×÷Ì¨, - 
candycraftce:marshmallow_door,ÃŞ»¨ÈíÌÇÃÅ, - 
candycraftce:marshmallow_fence,ÃŞ»¨ÈíÌÇÕ¤À¸, - 
candycraftce:marshmallow_fence_gate,ÃŞ»¨ÈíÌÇÕ¤À¸ÃÅ, - 
candycraftce:marshmallow_ladder,ÃŞ»¨ÈíÌÇÌİ×Ó, - 
candycraftce:marshmallow_log,ÃŞ»¨ÈíÌÇÔ­Ä¾, - 
candycraftce:marshmallow_planks,ÃŞ»¨ÈíÌÇÄ¾°å, - 
candycraftce:marshmallow_slab,ÃŞ»¨ÈíÌÇÌ¨½×, - 
candycraftce:marshmallow_stairs,ÃŞ»¨ÈíÌÇÂ¥Ìİ, - 
candycraftce:marshmallow_trapdoor,ÃŞ»¨ÈíÌÇ»î°æÃÅ, - 
candycraftce:mint,Ë®Éú±¡ºÉ, - 
candycraftce:mint_block,Ë®Éú±¡ºÉ¿é, - 
candycraftce:mint_ice_cream,±¡ºÉ±ùä¿ÁÜ, - 
candycraftce:mint_ice_cream_slab,±¡ºÉ±ùä¿ÁÜÌ¨½×, - 
candycraftce:mint_ice_cream_stairs,±¡ºÉ±ùä¿ÁÜÂ¥Ìİ, - 
candycraftce:mint_slab,Ë®Éú±¡ºÉÌ¨½×, - 
candycraftce:mint_stairs,Ë®Éú±¡ºÉÂ¥Ìİ, - 
candycraftce:nougat_block,Å£ÔşÌÇ¿é, - 
candycraftce:nougat_head,öÉÖÆÅ£ÔşÌÇ¿é, - 
candycraftce:nougat_ore,Å£ÔşÌÇ¿óÊ¯, - 
candycraftce:pez_block,Æ¤ÀñÊ¿ÌÇ¿é, - 
candycraftce:pez_ore,Æ¤ÀñÊ¿ÌÇ¿óÊ¯, - 
candycraftce:pudding,²¼¶¡, - 
candycraftce:pudding_farmland,²¼¶¡¸ûµØ, - 
candycraftce:raspberry_block,Ë®ÉúÊ÷İ®¿é, - 
candycraftce:raspberry_slab,Ë®ÉúÊ÷İ®Ì¨½×, - 
candycraftce:raspberry_stairs,Ë®ÉúÊ÷İ®Â¥Ìİ, - 
candycraftce:red_trampojelly,ºìÉ«µ¯Á¦¹û¶³, - 
candycraftce:rope_raspberry,Éş×´Ê÷İ®, - 
candycraftce:round_caramel_glass,Ô²ĞÎ½¹ÌÇ²£Á§, - 
candycraftce:round_caramel_glass_pane,Ô²ĞÎ½¹ÌÇ²£Á§°å, - 
candycraftce:sensitive_jelly,Ãô¸Ğ¹û¶³, - 
candycraftce:soft_trampojelly,Èíµ¯Á¦¹û¶³, - 
candycraftce:strawberry_ice_cream,²İİ®±ùä¿ÁÜ, - 
candycraftce:strawberry_ice_cream_slab,²İİ®±ùä¿ÁÜÌ¨½×, - 
candycraftce:strawberry_ice_cream_stairs,²İİ®±ùä¿ÁÜÂ¥Ìİ, - 
candycraftce:sugar_block,ÌÇ¿é, - 
candycraftce:sugar_factory,ÖÆÌÇ»ú, - 
candycraftce:sugar_spikes,ÌÇ´Ì, - 
candycraftce:sweet_grass_0,Ìğ²İ, - 
candycraftce:sweet_grass_1,Ìğ²İ, - 
candycraftce:sweet_grass_2,Ìğ²İ, - 
candycraftce:sweet_grass_3,Ìğ²İ, - 
candycraftce:trampojelly,µ¯Á¦¹û¶³, - 
candycraftce:wall_honeycomb_torch,ÃÛÀ¯»ğ°Ñ, - 
candycraftce:white_chocolate_bricks,°×ÇÉ¿ËÁ¦×©, - 
candycraftce:white_chocolate_caramel_bricks,°×ÇÉ¿ËÁ¦½¹ÌÇ»ìºÏ×©, - 
candycraftce:white_chocolate_cobblestone,°×É«ÇÉ¿ËÁ¦Ô²Ê¯, - 
candycraftce:white_chocolate_furnace,°×ÇÉ¿ËÁ¦ÈÛÂ¯, - 
candycraftce:white_chocolate_leaves,°×ÇÉ¿ËÁ¦Ê÷Ò¶, - 
candycraftce:white_chocolate_sapling,°×ÇÉ¿ËÁ¦Ê÷Ãç, - 
candycraftce:white_chocolate_stone,°×É«ÇÉ¿ËÁ¦Ê¯Í·, - 
candycraftce:white_chocolate_stone_tile,°×ÇÉ¿ËÁ¦Íß, - 
